CustomerID,Recency,Frequency,MonetaryValue,TotalTransactions,AvgOrderValue,CustomerAge,TotalProducts,CountryCode,CustomerSegment,TotalRevenue,AvgTimeBetweenPurchases,Churn,rf_churn_prob,xgb_churn_prob
1,-0.7496427679240038,-1.6959735199388717,0.30228103518370375,0.1262086252258451,0.2312796144799809,0.3197180618771303,-0.09382082233095126,FR,Regular,-1.1042832006114862,1.6023693592840305,1,0.2631041188350847,0.1556104982362029
2,1.5948373982295336,-0.6790346381626067,-1.2562210432559724,-1.3532338317739396,0.31118847098174435,1.6113493804982923,-0.4486114074578283,FR,VIP,-0.9506861638214171,0.06257780849191218,1,0.296693613838034,0.37608907029995375
3,0.8514656382296316,-1.3803717980083066,-0.2590275700917258,-0.6744308220916855,-0.0558405197945921,-0.41033442256091784,-0.16477893935632668,US,Regular,-0.9417256752958314,0.5744764461099587,1,0.11517435939619207,0.07183870227894375
4,-0.7115211392060601,1.4600436993667782,0.17817815529347594,-1.5272858855386202,0.19126338013287156,-0.8034396064890976,0.4028859968466766,DE,Regular,1.1768850946174874,-0.323691587159006,1,0.24704584643752883,0.1858251211404041
5,-1.0450853904880675,-0.15303176827833165,0.33948669632198347,0.6309595811434188,-1.0314829652823965,-1.0280711401623432,0.828634698998929,US,New,0.1059634165841089,-0.3083030630781612,0,0.19857403332036988,0.16598708366899895
6,0.06997224951178578,1.6003111313359184,-0.78461571527856,-1.4054494479033437,0.1839186568827506,-0.6349659562341634,0.828634698998929,CA,VIP,0.07437017181371954,-0.29286255074028644,1,0.3920985332281985,0.3099600409979222
7,-1.5311361566418495,0.40803795959822836,-0.3494235455012735,-0.15227466079764376,1.7530787907643552,-0.8034396064890976,-1.5839412798638348,DE,Regular,-0.010705766860188055,-0.3552333658111997,0,0.2029823416898865,0.18350418877168204
8,-0.7496427679240038,0.6535059655442234,0.9611966210494731,0.1262086252258451,0.25075661359373774,1.10592842973349,0.6157603479228028,UK,New,1.296909123943026,-0.3110757701197548,1,0.28165700215852413,0.43562127956326024
9,-0.5685650315137711,0.47817167558279833,1.525464281819849,1.4664094392138853,-1.5669946291048378,-0.24186077230598366,0.26096976279592576,UK,New,1.589435343557054,-0.295254010563661,1,0.19613565104302452,0.08295361008363487
10,0.3177628361784198,-1.4154386560005916,1.2506173893459807,0.8920376617904395,1.053578680288562,1.3305599634067353,-1.5839412798638348,UK,New,-0.7647540848020022,0.4544686440642549,1,0.3034976077915621,0.005570825254776876
11,1.423290068998787,-0.36343291623204166,0.21961946270993177,0.1262086252258451,-0.3401431600718537,0.0950865282038847,-0.7324438755593299,FR,New,-0.12139749222950652,-0.051564254561796134,1,0.3147063673811724,0.29769037068934395
12,-0.8925988756162926,-0.9245026441086016,-0.31386771019235865,-1.179181778009259,-1.1862139602343913,-0.578808072815852,-1.3001088117623332,UK,Regular,-0.7029420433825556,-0.227894558871945,0,0.397485514385112,0.25084216479588206
13,-0.7782339894624615,1.7055117053127733,-0.5817921038662814,0.8224168402845673,1.2838589334484671,-0.8034396064890976,-1.5839412798638348,CA,Regular,0.37446265311405713,-0.3295436794452786,1,0.3956415500665421,0.3020295707597687
14,1.6996718772038788,-0.22316548426290164,-1.3023898970880745,1.5186250553432896,-1.0318539936051734,-0.5226501893975406,1.538215869252683,DE,Regular,-0.8900932893657594,-0.05512970375300909,1,0.5107123735882338,0.2553491444485115
15,-0.2826528161291934,0.33790424361365834,-1.3661534984379653,1.309762590825673,1.4868314449233868,-0.35417653914260644,1.2543834011511814,DE,VIP,-0.8424086258650741,-0.2712596970024699,1,0.4834667788731774,0.00540124094537407
16,-0.48279136689839786,0.40803795959822836,0.649463302150115,-0.6396204113387494,-0.1822150685307175,-1.589649974345457,-0.6614857585339545,FR,VIP,0.7960568210896876,-0.287346764373471,1,0.7149827058652245,0.26818308113570016
17,-0.3017136304881653,1.2847094094053533,-0.8352560766126516,-1.2313973941386631,0.8666452308064041,-0.24186077230598366,1.3962996352019323,FR,New,-0.09858320076246571,-0.3022222297041834,1,0.17558177766554633,0.3695120513280674
18,1.2136211110500967,-1.1699706500545966,-0.8530379653832271,0.1262086252258451,0.18436800586063173,-0.24186077230598366,0.6157603479228028,FR,Regular,-0.9551515194527289,0.3272992511036327,1,0.35401422401759647,0.2775845505578319
19,0.7275703448963146,0.5132385335750833,1.7228677068112466,-0.48297356295053684,-0.8274668365875718,0.8251390126419329,-0.3776532904324529,CA,New,1.7995181903819573,-0.21631744054750623,1,0.29913348658785244,0.33246017575760056
20,1.5471853623321041,1.5652442733436334,-1.0842380017503623,0.14361383060231317,0.6167934399045719,-1.0842290235806546,1.3253415181765569,DE,Regular,-0.3092663244064007,-0.22963990498865341,1,0.3329189278512091,0.2508805859077014
